,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Max Temp,Wind Speed
0,ilulissat,0,GL,1547257800,43,69.22,-51.1,-7.61,1.12
1,warmbad,92,DE,1547259600,80,50.67,13.08,39.2,11.41
2,tuatapere,0,NZ,1547259375,73,-46.13,167.69,62.93,5.06
3,avallon,92,FR,1547260768,97,47.49,3.91,34.45,5.39
4,maceio,0,BR,1547258400,73,-9.67,-35.74,77.0,3.36
5,hermanus,12,ZA,1547257990,100,-34.42,19.24,48.49,3.15
6,nouadhibou,0,MR,1547260287,82,20.93,-17.03,57.22,6.73
7,arraial do cabo,8,BR,1547259341,86,-22.97,-42.02,77.42,16.46
8,bredasdorp,32,ZA,1547258400,81,-34.53,20.04,53.6,5.82
9,benguela,44,AO,1547260769,100,-12.58,13.4,75.17,2.93
10,talnakh,32,RU,1547259605,77,69.49,88.39,-38.19,4.27
11,awjilah,0,LY,1547260311,37,29.14,21.3,48.44,12.21
12,poum,56,MK,1547260769,80,41.28,20.71,12.85,1.81
13,upernavik,32,GL,1547259593,100,72.79,-56.15,-6.28,5.73
14,victoria,75,BN,1547258400,74,5.28,115.24,86.0,3.36
15,rikitea,80,PF,1547259459,100,-23.12,-134.97,79.36,17.25
16,rancho cucamonga,75,US,1547260200,68,34.1,-117.58,62.6,8.05
17,san cristobal,40,EC,1547258400,100,-0.39,-78.55,55.4,3.36
18,kodiak,90,US,1547258100,100,39.95,-94.76,33.8,5.82
19,yellowknife,90,CA,1547254800,84,62.45,-114.38,5.0,11.41
20,torbay,75,CA,1547254800,97,47.66,-52.73,32.0,16.11
21,sinnamary,64,GF,1547260278,94,5.38,-52.96,79.13,10.2
22,luanda,40,AO,1547258400,83,-8.83,13.24,78.8,4.7
23,narsaq,75,GL,1547257800,55,60.91,-46.05,37.4,25.28
24,port elizabeth,1,US,1547258160,39,39.31,-74.98,30.92,7.18
25,puerto ayora,48,EC,1547259345,100,-0.74,-90.35,76.39,9.19
26,plettenberg bay,36,ZA,1547259647,100,-34.05,23.37,63.97,19.26
27,provideniya,20,RU,1547259359,100,64.42,-173.23,-11.23,17.92
28,prince rupert,90,CA,1547258400,93,54.32,-130.32,42.8,4.7
29,kapaa,40,US,1547258160,64,22.08,-159.32,78.98,12.75
30,lebu,0,ET,1547254800,49,8.96,38.73,48.2,9.17
31,thompson,75,CA,1547254800,70,55.74,-97.86,-4.01,2.24
32,geraldton,20,CA,1547254800,70,49.72,-86.95,-5.81,2.24
33,saint george,90,GR,1547257800,93,39.45,22.34,37.4,8.05
34,busselton,0,AU,1547259451,81,-33.64,115.35,74.32,11.77
35,mareeba,90,AU,1547258400,78,-16.99,145.42,82.4,8.05
36,san patricio,80,PY,1547259643,82,-26.98,-56.83,78.1,3.94
37,necochea,8,AR,1547260488,69,-38.55,-58.74,60.19,11.77
38,bluff,0,AU,1547258176,53,-23.58,149.07,87.77,8.63
39,saint-philippe,1,CA,1547258100,59,45.36,-73.48,5.0,4.7
40,shieli,64,KZ,1547260363,81,44.18,66.74,13.97,3.38
41,harper,90,US,1547258100,94,30.3,-99.24,56.12,4.7
42,quthing,0,LS,1547260771,52,-30.4,27.7,50.42,2.48
43,hyvinkaa,0,FI,1547259600,86,60.63,24.87,30.2,10.29
44,honiara,80,SB,1547260771,98,-9.43,159.96,79.27,2.37
45,norman wells,75,CA,1547254800,73,65.28,-126.83,-36.41,2.24
46,annonay,90,FR,1547258400,86,45.24,4.67,33.8,11.65
47,tortoli,5,IT,1547258100,60,39.93,9.66,42.8,11.41
48,hobart,0,AU,1547256600,44,-42.88,147.33,71.6,16.11
49,atuona,0,PF,1547259214,100,-9.8,-139.03,81.47,16.24
50,grenville,5,CA,1547258400,59,45.62,-74.6,5.0,4.7
51,ushuaia,40,AR,1547254800,42,-54.81,-68.31,46.4,11.41
52,namibe,8,AO,1547259607,100,-15.19,12.15,73.19,3.15
53,saldanha,0,PT,1547259609,86,41.42,-6.55,19.37,3.49
54,khorramshahr,32,IR,1547258400,80,30.43,48.18,39.2,4.7
55,vaini,0,IN,1547254800,76,15.34,74.49,55.4,2.93
56,ucluelet,20,CA,1547254800,93,48.94,-125.55,46.4,1.92
57,chokurdakh,0,RU,1547259593,0,70.62,147.9,-39.99,2.93
58,tiksi,32,RU,1547259461,47,71.64,128.87,-29.14,6.4
59,praia,0,BR,1547254800,64,-20.25,-43.81,73.4,4.5
60,severo-kurilsk,76,RU,1547259614,100,50.68,156.12,32.24,24.52
61,cabo san lucas,0,MX,1547259638,100,22.89,-109.91,72.52,2.37
62,sri aman,75,MY,1547258400,79,1.24,111.46,84.2,2.24
63,leningradskiy,8,RU,1547260021,88,69.38,178.42,-14.2,14.45
64,big spring,90,US,1547259300,77,32.25,-101.48,50.9,8.05
65,bethel,1,US,1547258880,76,60.79,-161.76,-22.01,19.46
66,dunedin,0,NZ,1547260318,76,-45.87,170.5,60.46,7.63
67,okato,0,NZ,1547260774,78,-39.19,173.88,72.16,5.84
68,manzhouli,44,CN,1547260774,72,49.6,117.43,-0.84,4.61
69,santa cruz,90,US,1547259600,76,36.97,-122.03,59.0,12.75
70,qaanaaq,24,GL,1547259589,100,77.48,-69.36,-18.16,10.54
71,mataura,0,NZ,1547259845,53,-46.19,168.86,69.91,4.05
72,makakilo city,20,US,1547258220,60,21.35,-158.09,78.98,10.29
73,marivan,8,IR,1547260775,60,35.52,46.18,15.19,4.16
74,ribeira grande,20,PT,1547256600,77,38.52,-28.7,59.0,17.22
75,ponta do sol,64,BR,1547259592,78,-20.63,-46.0,69.01,3.38
76,hofn,0,IS,1547260037,96,64.25,-15.21,40.21,15.79
77,valdepenas,0,ES,1547260776,85,38.76,-3.38,23.78,7.96
78,punta arenas,75,CL,1547258400,100,-53.16,-70.91,44.6,27.51
79,kosikha,0,RU,1547258400,77,53.36,84.58,-2.21,6.71
80,aklavik,90,CA,1547258400,67,68.22,-135.01,-22.01,3.36
81,verkhnyaya inta,80,RU,1547260776,69,65.99,60.32,1.42,4.94
82,laguna,0,MX,1547260639,83,27.52,-110.01,61.49,2.71
83,espera feliz,64,BR,1547260776,93,-20.65,-41.91,65.5,4.27
84,avera,1,US,1547259300,77,33.19,-82.53,44.6,3.36
85,dikson,0,RU,1547259461,94,73.51,80.55,-21.31,17.92
86,sidi ali,0,DZ,1547260777,89,36.1,0.42,30.04,3.38
87,comodoro rivadavia,0,AR,1547258400,42,-45.87,-67.48,66.2,14.99
88,lucapa,24,AO,1547260777,95,-8.42,20.74,65.77,2.71
89,pisco,75,PE,1547258400,88,-13.71,-76.2,71.6,16.11
90,sao filipe,0,CV,1547259606,99,14.9,-24.5,71.66,10.87
91,mar del plata,36,AR,1547259587,42,-46.43,-67.52,65.81,20.49
92,fortuna,0,ES,1547256600,44,38.18,-1.13,37.4,4.7
93,katsuura,90,JP,1547258400,81,33.93,134.5,42.8,5.82
94,san juan del parana,0,PY,1547258400,83,-27.3,-55.97,78.8,5.82
95,saint-pierre,90,FR,1547256600,93,48.95,4.24,42.8,9.17
96,hami,44,CN,1547260260,57,42.84,93.51,4.66,2.71
97,salinopolis,92,BR,1547259656,100,-0.61,-47.36,75.98,5.39
98,jamestown,0,AU,1547259581,44,-33.21,138.6,88.0,11.77
99,butaritari,76,KI,1547259462,100,3.07,172.79,83.63,12.77
100,hithadhoo,88,MV,1547259598,100,-0.6,73.08,79.04,0.36
101,faanui,92,PF,1547259435,100,-16.48,-151.75,83.41,17.58
102,avarua,75,CK,1547258400,74,-21.21,-159.78,84.2,9.17
103,shellbrook,75,CA,1547258400,77,53.22,-106.39,-2.21,3.36
104,yulara,0,AU,1547258400,12,-25.24,130.99,104.0,11.41
105,aykhal,24,RU,1547260392,32,65.95,111.51,-23.34,6.62
106,cape town,100,ZA,1547254800,93,-33.93,18.42,51.8,2.24
107,pangody,0,RU,1547260778,57,65.85,74.49,-19.6,14.56
108,mus,0,FR,1547258400,69,43.74,4.2,41.0,6.93
109,yarmouth,36,GB,1547257800,87,50.71,-1.5,44.6,6.93
110,hilo,90,US,1547257980,68,19.71,-155.08,75.92,5.82
111,grindavik,90,IS,1547258400,100,63.84,-22.43,37.4,24.16
112,cap malheureux,40,MU,1547258400,88,-19.98,57.61,78.8,6.93
113,vestmanna,92,FO,1547257800,87,62.16,-7.17,44.6,25.28
114,ajdabiya,0,LY,1547260360,44,30.75,20.22,45.47,10.42
115,bambous virieux,40,MU,1547258400,88,-20.34,57.76,78.8,6.93
116,nanortalik,48,GL,1547259599,89,60.14,-45.24,31.07,43.87
117,marzuq,0,YE,1547260779,78,14.4,46.47,36.92,2.15
118,nanyuki,0,KE,1547260779,82,0.01,37.07,39.76,3.49
119,alice springs,0,AU,1547258400,13,-23.7,133.88,105.8,18.34
120,sorong,44,ID,1547260780,99,-0.86,131.25,84.08,9.31
121,komsomolskiy,64,RU,1547260780,86,67.55,63.78,2.05,14.79
122,albany,1,US,1547258040,60,42.65,-73.75,12.02,18.34
123,maningrida,8,AU,1547260780,86,-12.05,134.23,89.89,5.84
124,wichita falls,90,US,1547259300,96,33.91,-98.49,53.96,14.99
125,fare,88,PF,1547260780,100,-16.7,-151.02,83.14,16.58
126,mabaruma,88,GY,1547260780,84,8.2,-59.78,77.78,7.18
127,ust-tsilma,88,RU,1547260382,73,65.44,52.15,16.99,10.09
128,sumenep,68,ID,1547260699,100,-7.02,113.87,83.36,3.6
129,castro,90,CL,1547258400,100,-42.48,-73.76,53.6,9.17
130,klaksvik,88,FO,1547257800,87,62.23,-6.59,44.6,25.28
131,dingle,20,PH,1547259450,70,11.0,122.67,82.64,10.65
132,pevek,0,RU,1547259606,86,69.7,170.27,-13.89,4.38
133,barrow,0,AR,1547259449,56,-38.31,-60.23,61.67,12.1
134,rapid valley,1,US,1547259300,82,44.06,-103.15,36.14,12.75
135,chapais,90,CA,1547257380,69,49.78,-74.86,-9.41,10.29
136,georgetown,20,GY,1547258400,88,6.8,-58.16,78.8,4.7
137,bonavista,36,CA,1547260781,97,48.65,-53.11,31.12,18.25
138,cidreira,92,BR,1547259628,99,-30.17,-50.22,71.66,9.31
139,vostok,0,RU,1547259444,55,46.45,135.83,13.61,1.14
140,mandiana,0,GN,1547260782,49,10.62,-8.7,63.83,5.73
141,reyes,36,BO,1547260344,96,-14.3,-67.34,71.71,2.48
142,manono,76,CD,1547260782,93,-7.3,27.4,71.89,2.59
143,boston,0,US,1547258160,48,42.36,-71.06,19.94,14.99
144,san policarpo,48,PH,1547260782,89,12.18,125.51,81.56,11.77
145,kondinskoye,68,RU,1547260782,79,59.65,67.41,-0.84,7.74
146,payson,40,US,1547258160,96,40.04,-111.73,32.0,9.17
147,bosaso,0,SO,1547260380,100,11.28,49.18,74.36,9.98
148,shache,44,CN,1547260783,79,38.42,77.24,12.89,2.82
149,chipata,44,ZM,1547260783,94,-13.64,32.65,65.81,3.38
150,bandarbeyla,92,SO,1547260291,100,9.49,50.81,75.26,16.69
151,florianopolis,40,BR,1547258400,78,-27.6,-48.55,78.8,6.93
152,batagay,32,RU,1547260783,0,67.65,134.64,-44.17,2.93
153,sao joao dos patos,32,BR,1547260783,89,-6.5,-43.7,75.17,5.39
154,padang,40,ID,1547258400,79,-0.92,100.36,84.2,4.7
155,progreso,0,UY,1547258400,72,-34.68,-56.22,64.4,6.93
156,port alfred,0,ZA,1547259582,83,-33.59,26.89,66.89,22.5
157,airai,12,TL,1547259427,66,-8.93,125.41,84.17,2.26
158,albertville,75,FR,1547259600,80,45.68,6.39,32.0,2.24
159,soyo,92,AO,1547260552,100,-6.13,12.37,74.81,2.37
160,sao miguel do araguaia,64,BR,1547260784,94,-13.28,-50.16,72.61,2.93
161,vestmannaeyjar,0,IS,1547260784,97,63.44,-20.27,41.74,24.29
162,san lawrenz,40,MT,1547259300,75,36.06,14.2,44.6,9.17
163,metro,56,ID,1547260325,98,-5.11,105.31,79.9,5.73
164,port lincoln,0,AU,1547259610,77,-34.72,135.86,70.45,17.47
165,hasaki,75,JP,1547258400,64,35.73,140.83,41.0,8.05
166,raudeberg,76,NO,1547259600,100,61.99,5.14,37.4,11.41
167,bischwiller,92,FR,1547259600,97,48.77,7.86,33.8,11.41
168,biak,8,ID,1547260306,100,-0.91,122.88,82.96,2.15
169,arman,32,RU,1547259646,73,59.7,150.17,5.42,5.39
170,zabaykalsk,44,CN,1547260785,72,49.64,117.33,-0.84,4.61
171,tasiilaq,80,GL,1547257800,78,65.61,-37.64,17.6,4.7
172,ketchikan,75,US,1547258520,92,55.34,-131.65,42.98,5.82
173,chuy,92,UY,1547259451,90,-33.69,-53.46,65.18,7.18
174,souillac,90,FR,1547256600,93,45.6,-0.6,41.0,1.81
175,kholmy,68,UA,1547260786,84,51.87,32.6,4.88,10.09
176,xiaoweizhai,92,CN,1547260786,100,26.23,107.51,43.49,3.6
177,marsh harbour,88,BS,1547260332,100,26.54,-77.06,71.12,13.56
178,kenai,1,US,1547258160,78,60.55,-151.26,-0.94,8.05
179,mount gambier,0,AU,1547254800,40,-37.83,140.78,73.4,19.46
180,reus,0,ES,1547258400,80,41.16,1.11,30.2,4.7
181,vanimo,12,PG,1547260786,100,-2.67,141.3,83.05,14.23
182,noumea,80,NC,1547258400,94,-22.28,166.46,80.6,6.93
183,wajir,0,KE,1547260787,44,1.75,40.07,68.29,6.62
184,new norfolk,0,AU,1547256600,49,-42.78,147.06,71.6,16.11
185,pangai,40,TO,1547258400,74,-19.8,-174.35,84.2,16.11
186,ginda,0,IN,1547260787,88,30.69,78.49,27.16,2.15
187,rauma,0,FI,1547259600,69,61.13,21.5,35.6,16.11
188,rairangpur,0,IN,1547258400,87,22.27,86.18,51.8,2.37
189,montauban,90,FR,1547258400,86,44.02,1.35,37.4,9.17
190,khokhryaki,80,RU,1547260788,83,56.92,53.32,14.2,10.65
191,vao,44,EE,1547259642,85,59.1,26.19,31.43,11.43
192,kaveripattinam,80,IN,1547260788,97,12.42,78.22,59.87,4.16
193,pacific grove,90,US,1547258400,86,36.62,-121.92,57.92,14.79
194,fairbanks,20,US,1547258280,68,64.84,-147.72,-37.48,2.71
195,eureka,75,US,1547258100,59,40.8,-124.16,59.0,9.17
196,esmeraldas,0,BR,1547258400,64,-19.76,-44.31,73.4,6.93
197,mahebourg,40,MU,1547258400,88,-20.41,57.7,78.8,6.93
198,seymchan,32,RU,1547260788,86,62.93,152.39,-20.55,2.71
199,jimenez,20,PA,1547258400,73,8.54,-82.37,77.0,9.17
200,waingapu,32,ID,1547259658,80,-9.65,120.26,85.07,4.72
201,magadan,48,RU,1547260789,100,59.56,150.8,20.77,19.71
202,marienburg,75,DE,1547259600,87,52.12,9.98,42.8,13.87
203,touros,0,BR,1547258400,78,-5.2,-35.46,78.8,4.7
204,yumen,0,CN,1547260789,57,40.29,97.04,5.06,3.94
205,timaru,68,NZ,1547260296,100,-44.39,171.25,57.62,5.73
206,boguchany,44,RU,1547259641,75,58.38,97.46,-7.45,3.38
207,ariquemes,24,BR,1547260789,91,-9.91,-63.03,74.27,2.04
208,meulaboh,24,ID,1547260360,100,4.14,96.13,80.8,2.71
209,carnarvon,8,ZA,1547259380,82,-30.97,22.13,50.11,5.5
210,shkoder,0,AL,1547258400,50,42.07,19.51,33.8,8.05
211,hit,0,IQ,1547260790,77,33.64,42.83,31.16,3.15
212,amga,64,RU,1547260790,83,60.89,131.98,-19.47,2.71
213,nikolskoye,75,RU,1547256600,79,59.7,30.79,33.8,15.66
214,nambucca heads,32,AU,1547258400,61,-30.64,152.99,80.6,19.46
215,tessalit,56,ML,1547259362,20,20.2,1.01,46.6,10.2
216,vung tau,48,VN,1547260790,88,10.35,107.08,82.06,16.69
217,gushikawa,90,JP,1547258400,78,26.35,127.87,73.4,11.41
218,lagoa,0,PT,1547256600,39,37.14,-8.45,46.4,8.05
219,east london,0,ZA,1547259440,100,-33.02,27.91,70.13,30.33
220,kargopol,88,RU,1547260791,87,61.51,38.95,20.32,20.15
221,khatanga,48,RU,1547259394,58,71.98,102.47,-32.79,9.64
222,portland,1,US,1547257980,72,45.52,-122.67,48.92,8.05
223,wangqing,24,CN,1547260791,61,43.31,129.76,25.31,1.7
224,seidu,0,NG,1547260791,57,8.32,4.47,66.53,3.15
225,te anau,0,NZ,1547259646,31,-45.41,167.72,71.21,2.59
226,hamilton,90,CA,1547258400,67,43.26,-79.87,19.4,2.24
227,egvekinot,0,RU,1547260792,0,66.32,-179.17,-44.17,2.59
228,duki,24,PK,1547260792,79,30.15,68.58,40.34,1.92
229,uspenka,76,UA,1547260792,94,48.39,39.16,31.34,13.44
230,valparaiso,90,US,1547259300,85,41.47,-87.06,32.0,5.82
231,termiz,20,AF,1547258400,88,37.23,67.28,39.2,2.24
232,tura,0,IN,1547260781,78,25.52,90.21,60.14,4.61
233,huancavelica,92,PE,1547260793,98,-12.79,-74.97,40.12,1.03
234,mincivan,64,AZ,1547260793,65,39.03,46.72,23.02,3.15
235,berlevag,68,NO,1547259629,100,70.86,29.09,19.6,4.38
236,elk city,90,US,1547260500,99,35.41,-99.4,51.08,11.41
237,tual,80,ID,1547259608,100,-5.67,132.75,82.73,11.77
238,omboue,20,GA,1547260329,100,-1.57,9.26,77.78,4.94
239,mahon,75,IE,1547260200,93,51.89,-8.4,46.4,6.93
240,aksarka,76,RU,1547260793,63,66.56,67.8,-13.62,14.67
241,cayenne,0,GF,1547258400,88,4.94,-52.33,75.2,2.24
242,naze,8,NG,1547260794,91,5.43,7.07,73.6,7.4
243,evensk,0,RU,1547260294,100,61.92,159.24,14.65,15.01
244,suleja,0,NG,1547254800,46,9.18,7.18,71.6,4.7
245,ayagoz,64,KZ,1547260794,78,47.96,80.43,9.47,2.15
246,conceicao do mato dentro,44,BR,1547260794,86,-19.04,-43.42,68.24,6.4
247,margate,0,AU,1547258400,22,-43.03,147.26,75.2,19.46
248,cherskiy,24,RU,1547259453,46,68.75,161.3,-15.46,2.71
249,lompoc,75,US,1547259300,71,34.64,-120.46,59.0,12.75
250,champasak,75,LA,1547258400,69,14.89,105.88,78.8,2.24
251,vardo,1,US,1547258100,50,39.62,-77.74,28.4,3.36
252,kloulklubed,75,PW,1547257800,74,7.04,134.26,84.2,12.75
253,iqaluit,20,CA,1547258400,68,63.75,-68.52,-18.41,21.92
254,merauke,80,ID,1547259642,99,-8.49,140.4,83.81,5.5
255,dibai,24,IN,1547260795,88,28.21,78.26,48.62,2.82
256,bushenyi,24,UG,1547260795,81,-0.54,30.19,56.41,2.82
257,ancud,90,CL,1547258400,100,-41.87,-73.83,53.6,9.17
258,pangnirtung,64,CA,1547259640,53,66.15,-65.72,-18.43,3.15
259,zyryanka,0,RU,1547260796,69,65.73,150.89,-35.94,2.26
260,havre-saint-pierre,90,CA,1547258400,86,50.23,-63.6,26.6,20.8
261,borzya,68,RU,1547260796,83,50.39,116.53,1.64,4.61
262,nalut,0,LY,1547260796,94,31.86,10.98,34.54,8.41
263,codrington,0,AU,1547258400,38,-28.95,153.24,89.6,8.05
264,kuusamo,90,FI,1547259600,85,65.96,29.19,24.8,18.34
265,ulladulla,0,AU,1547258400,52,-35.36,150.48,89.6,10.29
266,sabha,0,LY,1547260796,67,27.03,14.43,37.64,12.77
267,sistranda,75,NO,1547257800,100,63.73,8.83,37.4,17.22
268,caldas novas,8,BR,1547260797,80,-17.75,-48.62,71.21,3.71
269,tuktoyaktuk,90,CA,1547254800,75,69.44,-133.03,-14.81,10.29
270,longyearbyen,20,NO,1547257800,55,78.22,15.63,8.6,21.92
271,kruisfontein,8,ZA,1547259581,87,-34.0,24.73,63.83,20.71
272,muzhi,76,RU,1547260797,71,65.4,64.7,-10.51,13.89
273,los alamos,90,US,1547258100,100,35.88,-106.3,33.08,1.48
274,aripuana,56,BR,1547260797,91,-9.17,-60.63,75.44,2.26
275,mollendo,36,PE,1547260797,94,-17.03,-72.02,56.95,2.93
276,collie,0,AU,1547260798,24,-33.36,116.15,92.41,4.72
277,saskylakh,36,RU,1547259615,0,71.97,114.09,-43.18,3.6
278,barao de melgaco,20,BR,1547258400,94,-16.19,-55.97,73.4,2.24
279,anqing,56,CN,1547260796,100,30.51,117.04,43.94,0.92
280,pandan,100,PH,1547260798,100,11.72,122.09,75.62,12.66
281,rantepao,64,ID,1547260798,92,-2.97,119.9,75.17,2.04
282,nan,90,TH,1547258400,100,18.78,100.78,68.0,1.12
283,sechura,12,PE,1547259641,75,-5.56,-80.82,75.4,11.43
284,baykit,32,RU,1547260235,73,61.68,96.39,-17.49,2.93
285,cabedelo,75,BR,1547258400,78,-6.97,-34.84,78.8,8.05
286,carauari,8,BR,1547260799,75,-4.88,-66.9,79.67,5.61
287,freeport,80,BS,1547260611,100,26.54,-78.7,71.44,14.79
288,benghazi,0,LY,1547260799,100,32.12,20.07,61.49,5.39
289,jinchang,0,CN,1547260799,50,38.52,102.19,9.56,2.82
290,paita,44,PE,1547260799,70,-5.09,-81.11,75.67,7.85
291,agadez,0,NE,1547260800,62,16.97,7.99,51.68,3.04
